experiment,cell_id,before_score,candidate_after_score,after_score,before_type,candidate_after_type,after_type,accepted,decision,improvement,raw_candidate_improvement,patch_size,retry_diameter,x0,x1,y0,y1
baseline_no_correction,cell_75,0.0701086162270894,0.0701086162270894,0.0701086162270894,fibroblast,fibroblast,fibroblast,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_78,0.1293241248398163,0.1293241248398163,0.1293241248398163,endothelial cell,endothelial cell,endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_82,0.0353198236182543,0.0353198236182543,0.0353198236182543,endothelial cell of artery,endothelial cell of artery,endothelial cell of artery,False,not_run,0.0,0.0,80,20,,,,
strict_patch80_diam20,cell_1,0.1237262571135552,0.12044430101939108,0.1237262571135552,endothelial cell of artery,endothelial cell of artery,endothelial cell of artery,False,rejected_no_improvement,0.0,-0.0032819560941641235,80,20,14.0,94.0,0.0,55.0
strict_patch80_diam20,cell_6,0.0101603804434826,0.019324908136778056,0.019324908136778056,vascular associated smooth muscle cell,vein endothelial cell,vein endothelial cell,True,accepted_improved,0.009164527693295456,0.009164527693295456,80,20,464.0,512.0,0.0,47.0
strict_patch80_diam20,cell_8,0.1452466013589321,0.14482569494539144,0.1452466013589321,myofibroblast cell,fibroblast,myofibroblast cell,False,rejected_no_improvement,0.0,-0.0004209064135406726,80,20,228.0,308.0,0.0,78.0
strict_patch80_diam20,cell_9,0.1075434983424123,0.10502986810204484,0.1075434983424123,vascular associated smooth muscle cell,vascular associated smooth muscle cell,vascular associated smooth muscle cell,False,rejected_no_improvement,0.0,-0.002513630240367451,80,20,354.0,434.0,0.0,72.0
strict_patch80_diam20,cell_10,0.0332263707601387,0.0332263707601387,0.0332263707601387,pericyte,pericyte,pericyte,False,rejected_no_center_cell,0.0,0.0,80,20,447.0,512.0,0.0,73.0
strict_patch80_diam20,cell_11,0.0747488540346365,0.03133624639873668,0.0747488540346365,vein endothelial cell,pericyte,vein endothelial cell,False,rejected_no_improvement,0.0,-0.043412607635899825,80,20,464.0,512.0,2.0,82.0
strict_patch80_diam20,cell_16,0.0952496414502628,0.0952496414502628,0.0952496414502628,endothelial cell,endothelial cell,endothelial cell,False,rejected_no_center_cell,0.0,0.0,80,20,232.0,312.0,33.0,113.0
strict_patch80_diam20,cell_18,0.1515848239954636,0.1476525667354649,0.1515848239954636,endothelial cell,vein endothelial cell,endothelial cell,False,rejected_no_improvement,0.0,-0.0039322572599987116,80,20,96.0,176.0,61.0,141.0
strict_patch80_diam20,cell_21,0.1034453482541205,0.10150709244544087,0.1034453482541205,pericyte,pericyte,pericyte,False,rejected_no_improvement,0.0,-0.001938255808679623,80,20,42.0,122.0,74.0,154.0
strict_patch80_diam20,cell_24,0.0532108560350025,0.05321085603500256,0.0532108560350025,fibroblast,fibroblast,fibroblast,False,rejected_no_improvement,0.0,5.551115123125783e-17,80,20,412.0,492.0,104.0,184.0
strict_patch80_diam20,cell_26,0.1532493019981955,0.1532493019981955,0.1532493019981955,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,rejected_no_center_cell,0.0,0.0,80,20,142.0,222.0,120.0,200.0
strict_patch80_diam20,cell_27,0.148764258736804,0.15210940277579482,0.15210940277579482,endothelial cell,endothelial cell,endothelial cell,True,accepted_improved,0.0033451440389908327,0.0033451440389908327,80,20,270.0,350.0,116.0,196.0
strict_patch80_diam20,cell_30,0.1271533199283328,0.10003597146061706,0.1271533199283328,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,rejected_no_improvement,0.0,-0.027117348467715727,80,20,186.0,266.0,119.0,199.0
strict_patch80_diam20,cell_34,0.1053436299485385,0.09851684709150693,0.1053436299485385,fibroblast,fibroblast,fibroblast,False,rejected_no_improvement,0.0,-0.006826782857031574,80,20,139.0,219.0,183.0,263.0
strict_patch80_diam20,cell_36,0.0472189885016028,0.04713964728278773,0.0472189885016028,endothelial cell,endothelial cell,endothelial cell,False,rejected_no_improvement,0.0,-7.93412188150669e-05,80,20,404.0,484.0,191.0,271.0
strict_patch80_diam20,cell_40,0.041225019789599,0.03697240446316386,0.041225019789599,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,rejected_no_improvement,0.0,-0.004252615326435137,80,20,244.0,324.0,211.0,291.0
strict_patch80_diam20,cell_41,0.0202000895389495,0.009580535202373642,0.0202000895389495,endothelial cell of vascular tree,endothelial cell of vascular tree,endothelial cell of vascular tree,False,rejected_no_improvement,0.0,-0.010619554336575859,80,20,52.0,132.0,205.0,285.0
strict_patch80_diam20,cell_42,0.1262376647762303,0.12802420703089626,0.12802420703089626,fibroblast,fibroblast,fibroblast,True,accepted_improved,0.001786542254665957,0.001786542254665957,80,20,127.0,207.0,228.0,308.0
strict_patch80_diam20,cell_43,0.0629260171600307,0.04921735047856486,0.0629260171600307,myofibroblast cell,endothelial cell of vascular tree,myofibroblast cell,False,rejected_no_improvement,0.0,-0.013708666681465836,80,20,63.0,143.0,237.0,317.0
strict_patch80_diam20,cell_44,0.1511632590975457,0.14936747085152707,0.1511632590975457,endothelial cell,endothelial cell,endothelial cell,False,rejected_no_improvement,0.0,-0.0017957882460186148,80,20,187.0,267.0,240.0,320.0
strict_patch80_diam20,cell_47,0.0458167835453407,0.04652201380542084,0.04652201380542084,pericyte,pericyte,pericyte,True,accepted_improved,0.0007052302600801391,0.0007052302600801391,80,20,28.0,108.0,265.0,345.0
strict_patch80_diam20,cell_49,0.0729621414774816,0.0729621414774816,0.0729621414774816,endothelial cell of vascular tree,endothelial cell of vascular tree,endothelial cell of vascular tree,False,rejected_no_center_cell,0.0,0.0,80,20,205.0,285.0,276.0,356.0
strict_patch80_diam20,cell_51,0.0327025555475852,0.034922401264129974,0.034922401264129974,endothelial cell of artery,endothelial cell of artery,endothelial cell of artery,True,accepted_improved,0.002219845716544773,0.002219845716544773,80,20,94.0,174.0,293.0,373.0
strict_patch80_diam20,cell_52,0.0624011271042214,0.06109992062538645,0.0624011271042214,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,rejected_no_improvement,0.0,-0.00130120647883495,80,20,381.0,461.0,288.0,368.0
strict_patch80_diam20,cell_55,0.1083580547439464,0.11088021909427655,0.11088021909427655,endothelial cell,endothelial cell,endothelial cell,True,accepted_improved,0.002522164350330147,0.002522164350330147,80,20,323.0,403.0,307.0,387.0
strict_patch80_diam20,cell_57,0.0745215101836409,0.07511651948763105,0.07511651948763105,fibroblast,fibroblast,fibroblast,True,accepted_improved,0.0005950093039901599,0.0005950093039901599,80,20,0.0,79.0,306.0,386.0
strict_patch80_diam20,cell_58,0.0631681518582719,0.06214727231062937,0.0631681518582719,pericyte,pericyte,pericyte,False,rejected_no_improvement,0.0,-0.0010208795476425309,80,20,30.0,110.0,316.0,396.0
